,Title,key_1,Year,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
954,fly away home,1996,1996,tt0116329,movie,fly away home,fly away home,0.0,1996.0,,107,"Adventure,Drama,Family"
3378,flying tigers,1942,1942,tt0034742,movie,flying tigers,flying tigers,0.0,1942.0,,102,"Action,Drama,Romance"
2442,following,1998,1998,tt0154506,movie,following,following,0.0,1998.0,,69,"Crime,Mystery,Thriller"
2446,foolish,1999,1999,tt0166195,movie,foolish,foolish,0.0,1999.0,,84,"Comedy,Drama"
1382,fools rush in,1997,1997,tt0119141,movie,fools rush in,fools rush in,0.0,1997.0,,109,"Comedy,Drama,Romance"
3511,footloose,1984,1984,tt0087277,movie,footloose,footloose,0.0,1984.0,,107,"Drama,Music,Romance"
3120,for all mankind,1989,1989,tt0097372,movie,for all mankind,for all mankind,0.0,1989.0,,80,"Documentary,History"
1495,for ever mozart,1996,1996,tt0116334,movie,for ever mozart,for ever mozart,0.0,1996.0,,84,"Comedy,Drama,War"
2709,for love of the game,1999,1999,tt0126916,movie,for love of the game,for love of the game,0.0,1999.0,,137,"Drama,Romance,Sport"
451,for love or money,1993,1993,tt0106941,movie,for love or money,for love or money,0.0,1993.0,,96,"Comedy,Drama,Romance"
1618,for richer or poorer,1997,1997,tt0119142,movie,for richer or poorer,for richer or poorer,0.0,1997.0,,115,Comedy
3407,for the love of benji,1977,1977,tt0076044,movie,for the love of benji,for the love of benji,0.0,1977.0,,85,"Adventure,Comedy,Drama"
868,for whom the bell tolls,1943,1943,tt0035896,movie,for whom the bell tolls,for whom the bell tolls,0.0,1943.0,,170,"Adventure,Drama,History"
2816,for your eyes only,1981,1981,tt0082398,movie,for your eyes only,for your eyes only,0.0,1981.0,,127,"Action,Adventure,Thriller"
1239,forbidden planet,1956,1956,tt0049223,movie,forbidden planet,forbidden planet,0.0,1956.0,,98,"Adventure,Sci-Fi"
3277,force 10 from navarone,1978,1978,tt0077572,movie,force 10 from navarone,force 10 from navarone,0.0,1978.0,,118,"Action,Drama,War"
735,force of evil,1948,1948,tt0040366,movie,force of evil,force of evil,0.0,1948.0,,79,"Crime,Drama,Film-Noir"
2419,forces of nature,1999,1999,tt0141098,movie,forces of nature,forces of nature,0.0,1999.0,,105,"Comedy,Romance"
900,foreign correspondent,1940,1940,tt0032484,movie,foreign correspondent,foreign correspondent,0.0,1940.0,,120,"Action,Romance,Thriller"
578,foreign student,1994,1994,tt0109828,movie,foreign student,foreign student,0.0,1994.0,,90,Drama
3056,forever young,1992,1992,tt0104291,movie,forever young,forever young,0.0,1992.0,,102,"Drama,Romance,Sci-Fi"
255,forget paris,1995,1995,tt0113097,movie,forget paris,forget paris,0.0,1995.0,,101,"Comedy,Romance"
352,forrest gump,1994,1994,tt0109830,movie,forrest gump,forrest gump,0.0,1994.0,,142,"Drama,Romance"
22,four rooms,1995,1995,tt0113101,movie,four rooms,four rooms,0.0,1995.0,,98,Comedy
353,four weddings and a funeral,1994,1994,tt0109831,movie,four weddings and a funeral,four weddings and a funeral,0.0,1994.0,,117,"Comedy,Drama,Romance"
823,foxfire,1996,1996,tt0116353,movie,foxfire,foxfire,0.0,1996.0,,102,"Drama,Romance"
2615,frances,1982,1982,tt0083967,movie,frances,frances,0.0,1982.0,,140,"Biography,Drama,Romance"
395,frank and ollie,1995,1995,tt0113104,movie,frank and ollie,frank and ollie,0.0,1995.0,,89,Documentary
2518,frankenstein,1931,1931,tt0021884,movie,frankenstein,frankenstein,0.0,1931.0,,70,"Drama,Horror,Sci-Fi"
2521,frankenstein meets the wolf man,1943,1943,tt0035899,movie,frankenstein meets the wolf man,frankenstein meets the wolf man,0.0,1943.0,,74,"Fantasy,Horror,Sci-Fi"
144,frankie starlight,1995,1995,tt0113107,movie,frankie starlight,frankie starlight,0.0,1995.0,,101,"Drama,Romance,War"
1872,freddy's dead: the final nightmare,1991,1991,tt0101917,movie,freddy's dead: the final nightmare,freddy's dead: the final nightmare,0.0,1991.0,,89,"Fantasy,Horror"
2548,free enterprise,1998,1998,tt0141105,movie,free enterprise,free enterprise,0.0,1998.0,,113,"Comedy,Romance"
454,free willy,1993,1993,tt0106965,movie,free willy,free willy,0.0,1993.0,,112,"Adventure,Drama,Family"
185,free willy 2: the adventure home,1995,1995,tt0113114,movie,free willy 2: the adventure home,free willy 2: the adventure home,0.0,1995.0,,95,"Adventure,Drama,Family"
1515,free willy 3: the rescue,1997,1997,tt0119152,movie,free willy 3: the rescue,free willy 3: the rescue,0.0,1997.0,,86,"Adventure,Drama,Family"
3520,freejack,1992,1992,tt0104299,movie,freejack,freejack,0.0,1992.0,,110,"Action,Crime,Sci-Fi"
1004,freeway,1996,1996,tt0116361,movie,freeway,freeway,0.0,1996.0,,102,"Crime,Drama,Thriller"
254,french kiss,1995,1995,tt0113117,movie,french kiss,french kiss,0.0,1995.0,,111,"Comedy,Drama,Romance"
2054,frenzy,1972,1972,tt0068611,movie,frenzy,frenzy,0.0,1972.0,,116,Thriller
3269,frequency,2000,2000,tt0186151,movie,frequency,frequency,0.0,2000.0,,118,"Crime,Drama,Mystery"
455,fresh,1994,1994,tt0109842,movie,fresh,fresh,0.0,1994.0,,114,"Crime,Drama,Thriller"
84,friday,1995,1995,tt0113118,movie,friday,friday,0.0,1995.0,,91,"Comedy,Drama"
1873,friday the 13th,1980,1980,tt0080761,movie,friday the 13th,friday the 13th,0.0,1980.0,,95,"Horror,Mystery,Thriller"
1874,friday the 13th part 2,1981,1981,tt0082418,movie,friday the 13th part 2,friday the 13th part 2,0.0,1981.0,,87,"Horror,Mystery,Thriller"
1876,friday the 13th part vii: the new blood,1988,1988,tt0095179,movie,friday the 13th part vii: the new blood,friday the 13th part vii: the new blood,0.0,1988.0,,88,"Horror,Thriller"
1877,friday the 13th part viii: jason takes manhattan,1989,1989,tt0097388,movie,friday the 13th part viii: jason takes manhattan,friday the 13th part viii: jason takes manhattan,0.0,1989.0,,100,"Adventure,Horror,Thriller"
1875,friday the 13th: the final chapter,1984,1984,tt0087298,movie,friday the 13th: the final chapter,friday the 13th: the final chapter,0.0,1984.0,,91,"Horror,Thriller"
1209,fried green tomatoes,1991,1991,tt0101921,movie,fried green tomatoes,fried green tomatoes,0.0,1991.0,,130,Drama
2453,friends & lovers,1999,1999,tt0143261,movie,friends & lovers,friends & lovers,0.0,1999.0,,103,"Comedy,Drama,Romance"
2714,fright night,1985,1985,tt0089175,movie,fright night,fright night,0.0,1985.0,,106,"Fantasy,Horror"
642,frisk,1995,1995,tt0113122,movie,frisk,frisk,0.0,1995.0,,88,"Drama,Thriller"
2495,frogs for snakes,1998,1998,tt0120680,movie,frogs for snakes,frogs for snakes,0.0,1998.0,,108,"Comedy,Crime,Thriller"
85,from dusk till dawn,1996,1996,tt0116367,movie,from dusk till dawn,from dusk till dawn,0.0,1996.0,,108,"Action,Crime,Horror"
1842,from here to eternity,1953,1953,tt0045793,movie,from here to eternity,from here to eternity,0.0,1953.0,,118,"Drama,Romance,War"
2779,from russia with love,1963,1963,tt0057076,movie,from russia with love,from russia with love,0.0,1963.0,,115,"Action,Adventure,Thriller"
2611,from the hip,1987,1987,tt0093051,movie,from the hip,from the hip,0.0,1987.0,,111,"Comedy,Crime,Drama"
149,from the journals of jean seberg,1995,1995,tt0113125,movie,from the journals of jean seberg,from the journals of jean seberg,0.0,1995.0,,97,"Biography,Documentary"
1158,full metal jacket,1987,1987,tt0093058,movie,full metal jacket,full metal jacket,0.0,1987.0,,116,"Drama,War"
1951,full tilt boogie,1997,1997,tt0119165,movie,full tilt boogie,full tilt boogie,0.0,1997.0,,97,Documentary
3213,funny bones,1995,1995,tt0113133,movie,funny bones,funny bones,0.0,1995.0,,128,"Comedy,Drama"
872,funny face,1957,1957,tt0050419,movie,funny face,funny face,0.0,1957.0,,103,"Comedy,Musical,Romance"
2647,funny farm,1988,1988,tt0095188,movie,funny farm,funny farm,0.0,1988.0,,101,Comedy
1505,g.i. jane,1997,1997,tt0119173,movie,g.i. jane,g.i. jane,0.0,1997.0,,125,"Action,Drama,War"
1493,gabbeh,1996,1996,tt0116384,movie,gabbeh,gabbeh,0.0,1996.0,,75,"Drama,Mystery,Romance"
2978,galaxy quest,1999,1999,tt0177789,movie,galaxy quest,galaxy quest,0.0,1999.0,,102,"Adventure,Comedy,Sci-Fi"
1231,gandhi,1982,1982,tt0083987,movie,gandhi,gandhi,0.0,1982.0,,191,"Biography,Drama"
1578,gang related,1997,1997,tt0118900,movie,gang related,gang related,0.0,1997.0,,116,"Action,Crime,Drama"
877,gaslight,1944,1944,tt0036855,movie,gaslight,gaslight,0.0,1944.0,,114,"Crime,Drama,Mystery"
1570,gattaca,1997,1997,tt0119177,movie,gattaca,gattaca,0.0,1997.0,,106,"Drama,Sci-Fi,Thriller"
1838,gentleman's agreement,1947,1947,tt0039416,movie,gentleman's agreement,gentleman's agreement,0.0,1947.0,,118,"Drama,Romance"
1507,george of the jungle,1997,1997,tt0119190,movie,george of the jungle,george of the jungle,0.0,1997.0,,92,"Action,Adventure,Comedy"
69,georgia,1995,1995,tt0113158,movie,georgia,georgia,0.0,1995.0,,115,"Drama,Music"
573,germinal,1993,1993,tt0107002,movie,germinal,germinal,0.0,1993.0,,160,"Drama,Romance"
457,geronimo: an american legend,1993,1993,tt0107004,movie,geronimo: an american legend,geronimo: an american legend,0.0,1993.0,,115,"Drama,History,Western"
2557,get bruce,1999,1999,tt0184510,movie,get bruce,get bruce,0.0,1999.0,,82,Documentary
3635,get carter,1971,1971,tt0067128,movie,get carter,get carter,0.0,1971.0,,112,"Action,Crime,Thriller"
3634,get carter,2000,2000,tt0208988,movie,get carter,get carter,0.0,2000.0,,102,"Action,Crime,Drama"
1025,get on the bus,1996,1996,tt0116404,movie,get on the bus,get on the bus,0.0,1996.0,,120,"Adventure,Drama,History"
2469,get real,1998,1998,tt0162973,movie,get real,get real,0.0,1998.0,,108,"Comedy,Drama,Romance"
27,get shorty,1995,1995,tt0113161,movie,get shorty,get shorty,0.0,1995.0,,105,"Comedy,Crime,Thriller"
724,getting away with murder,1996,1996,tt0116405,movie,getting away with murder,getting away with murder,0.0,1996.0,,91,Comedy
459,getting even with dad,1994,1994,tt0109891,movie,getting even with dad,getting even with dad,0.0,1994.0,,109,"Comedy,Crime,Family"
589,ghost,1990,1990,tt0099653,movie,ghost,ghost,0.0,1990.0,,127,"Drama,Fantasy,Romance"
3112,ghost dog: the way of the samurai,1999,1999,tt0165798,movie,ghost dog: the way of the samurai,ghost dog: the way of the samurai,0.0,1999.0,,116,"Crime,Drama"
2575,ghostbusters,1984,1984,tt0087332,movie,ghostbusters,ghostbusters,0.0,1984.0,,105,"Action,Comedy,Fantasy"
2576,ghostbusters ii,1989,1989,tt0097428,movie,ghostbusters ii,ghostbusters ii,0.0,1989.0,,108,"Action,Comedy,Fantasy"
1332,ghosts of mississippi,1996,1996,tt0116410,movie,ghosts of mississippi,ghosts of mississippi,0.0,1996.0,,130,"Drama,History"
919,giant,1956,1956,tt0049261,movie,giant,giant,0.0,1956.0,,201,"Drama,Western"
909,gigi,1958,1958,tt0051658,movie,gigi,gigi,0.0,1958.0,,115,"Comedy,Musical,Romance"
2771,gilda,1946,1946,tt0038559,movie,gilda,gilda,0.0,1946.0,,110,"Drama,Film-Noir,Romance"
644,girl 6,1996,1996,tt0116414,movie,girl 6,girl 6,0.0,1996.0,,108,"Comedy,Drama"
396,girl in the cadillac,1995,1995,tt0113173,movie,girl in the cadillac,girl in the cadillac,0.0,1995.0,,89,"Adventure,Crime,Drama"
2987,"girl, interrupted",1999,1999,tt0172493,movie,"girl, interrupted","girl, interrupted",0.0,1999.0,,127,"Biography,Drama"
3610,girlfight,2000,2000,tt0210075,movie,girlfight,girlfight,0.0,2000.0,,110,"Drama,Sport"
852,girls town,1996,1996,tt0116418,movie,girls town,girls town,0.0,1996.0,,90,"Comedy,Drama"
3326,gladiator,2000,2000,tt0172495,movie,gladiator,gladiator,0.0,2000.0,,155,"Action,Adventure,Drama"
2232,glen or glenda,1953,1953,tt0045826,movie,glen or glenda,glen or glenda,0.0,1953.0,,65,Drama
1061,glengarry glen ross,1992,1992,tt0104348,movie,glengarry glen ross,glengarry glen ross,0.0,1992.0,,100,"Crime,Drama,Mystery"
2346,gloria,1999,1999,tt0120683,movie,gloria,gloria,0.0,1999.0,,108,"Crime,Drama,Thriller"
1179,glory,1989,1989,tt0097441,movie,glory,glory,0.0,1989.0,,122,"Biography,Drama,History"
2443,go,1999,1999,tt0139239,movie,go,go,0.0,1999.0,,102,"Comedy,Crime"
460,go fish,1994,1994,tt0109913,movie,go fish,go fish,0.0,1994.0,,83,"Comedy,Drama,Romance"
2942,go west,1925,1925,tt0015863,movie,go west,go west,0.0,1925.0,,69,"Comedy,Western"
2203,gods and monsters,1998,1998,tt0120684,movie,gods and monsters,gods and monsters,0.0,1998.0,,105,"Biography,Drama"
1778,godzilla,1998,1998,tt0120685,movie,godzilla,godzilla,0.0,1998.0,,139,"Action,Sci-Fi,Thriller"
1835,going my way,1944,1944,tt0036872,movie,going my way,going my way,0.0,1944.0,,126,"Comedy,Drama,Music"
742,gold diggers: the secret of bear mountain,1995,1995,tt0113188,movie,gold diggers: the secret of bear mountain,gold diggers: the secret of bear mountain,0.0,1995.0,,94,"Adventure,Drama,Family"
896,golden earrings,1947,1947,tt0039428,movie,golden earrings,golden earrings,0.0,1947.0,,95,"Adventure,Comedy,Drama"
11,goldeneye,1995,1995,tt0113189,movie,goldeneye,goldeneye,0.0,1995.0,,130,"Action,Adventure,Thriller"
2778,goldfinger,1964,1964,tt0058150,movie,goldfinger,goldfinger,0.0,1964.0,,110,"Action,Adventure,Thriller"
848,gone fishin',1997,1997,tt0119214,movie,gone fishin',gone fishin',0.0,1997.0,,94,"Comedy,Crime"
891,gone with the wind,1939,1939,tt0031381,movie,gone with the wind,gone with the wind,0.0,1939.0,,238,"Drama,Romance,War"
3215,"good morning, vietnam",1987,1987,tt0093105,movie,"good morning, vietnam","good morning, vietnam",0.0,1987.0,,121,"Biography,Comedy,Drama"
1619,good will hunting,1997,1997,tt0119217,movie,good will hunting,good will hunting,0.0,1997.0,,126,"Drama,Romance"
1152,goodfellas,1990,1990,tt0099685,movie,goodfellas,goodfellas,0.0,1990.0,,145,"Biography,Crime,Drama"
157,gospa,1995,1995,tt0113200,movie,gospa,gospa,0.0,1995.0,,125,"Drama,History"
3310,gossip,2000,2000,tt0238251,movie,gossip,gossip,0.0,2000.0,,134,"Comedy,Drama"
3309,gossip,2000,2000,tt0176783,movie,gossip,gossip,0.0,2000.0,,90,"Drama,Mystery,Thriller"
3223,gothic,1986,1986,tt0091142,movie,gothic,gothic,0.0,1986.0,,87,"Drama,Fantasy,Horror"
957,grace of my heart,1996,1996,tt0116442,movie,grace of my heart,grace of my heart,0.0,1996.0,,116,"Comedy,Drama,Music"
1995,grand canyon,1991,1991,tt0101969,movie,grand canyon,grand canyon,0.0,1991.0,,134,"Crime,Drama"
1827,grand hotel,1932,1932,tt0022958,movie,grand hotel,grand hotel,0.0,1932.0,,112,"Drama,Romance"
2111,"grandview, u.s.a.",1984,1984,tt0087359,movie,"grandview, u.s.a.","grandview, u.s.a.",0.0,1984.0,,97,Drama
1996,graveyard shift,1990,1990,tt0099697,movie,graveyard shift,graveyard shift,0.0,1990.0,,86,
1308,grease,1978,1978,tt0077631,movie,grease,grease,0.0,1978.0,,110,"Comedy,Musical,Romance"
1309,grease 2,1982,1982,tt0084021,movie,grease 2,grease 2,0.0,1982.0,,115,"Comedy,Music,Musical"
3521,greaser's palace,1972,1972,tt0068659,movie,greaser's palace,greaser's palace,0.0,1972.0,,91,"Comedy,Western"
1648,great expectations,1998,1998,tt0119223,movie,great expectations,great expectations,0.0,1998.0,,111,"Drama,Romance"
1896,gremlins,1984,1984,tt0087363,movie,gremlins,gremlins,0.0,1984.0,,106,"Comedy,Fantasy,Horror"
1898,gremlins 2: the new batch,1990,1990,tt0099700,movie,gremlins 2: the new batch,gremlins 2: the new batch,0.0,1990.0,,106,"Comedy,Fantasy,Horror"
1375,gridlock'd,1997,1997,tt0119225,movie,gridlock'd,gridlock'd,0.0,1997.0,,91,"Comedy,Crime,Drama"
3510,groove,2000,2000,tt0212974,movie,groove,groove,0.0,2000.0,,86,"Drama,Music"
1116,grosse fatigue,1994,1994,tt0109942,movie,dead tired,grosse fatigue,0.0,1994.0,,92,Comedy
1424,grosse pointe blank,1997,1997,tt0119229,movie,grosse pointe blank,grosse pointe blank,0.0,1997.0,,107,"Action,Comedy,Crime"
1202,groundhog day,1993,1993,tt0107048,movie,groundhog day,groundhog day,0.0,1993.0,,101,"Comedy,Drama,Fantasy"
3,grumpier old men,1995,1995,tt0113228,movie,grumpier old men,grumpier old men,0.0,1995.0,,101,"Comedy,Romance"
3217,grumpy old men,1993,1993,tt0107050,movie,grumpy old men,grumpy old men,0.0,1993.0,,103,"Comedy,Drama,Romance"
3218,guess who's coming to dinner,1967,1967,tt0061735,movie,guess who's coming to dinner,guess who's coming to dinner,0.0,1967.0,,108,"Comedy,Drama"
462,guilty as sin,1993,1993,tt0107057,movie,guilty as sin,guilty as sin,0.0,1993.0,,107,"Crime,Drama,Thriller"
2731,guinevere,1999,1999,tt0160338,movie,guinevere,guinevere,0.0,1999.0,,104,"Drama,Romance"
2745,gulliver's travels,1939,1939,tt0031397,movie,gulliver's travels,gulliver's travels,0.0,1939.0,,76,"Adventure,Animation,Comedy"
3066,gun shy,2000,2000,tt0171356,movie,gun shy,gun shy,0.0,2000.0,,101,"Comedy,Crime,Romance"
2243,gung ho,1986,1986,tt0091159,movie,gung ho,gung ho,0.0,1986.0,,112,"Comedy,Drama"
1620,guy,1996,1996,tt0116465,movie,guy,guy,0.0,1996.0,,94,Drama
3305,guys and dolls,1955,1955,tt0048140,movie,guys and dolls,guys and dolls,0.0,1955.0,,150,"Comedy,Crime,Musical"
3355,gypsy,1962,1962,tt0056048,movie,gypsy,gypsy,0.0,1962.0,,143,"Biography,Comedy,Drama"
3522,h.o.t.s.,1979,1979,tt0079257,movie,h.o.t.s.,h.o.t.s.,0.0,1979.0,,98,Comedy
186,hackers,1995,1995,tt0113243,movie,hackers,hackers,0.0,1995.0,,105,"Crime,Drama,Romance"
2763,hairspray,1988,1988,tt0095270,movie,hairspray,hairspray,0.0,1988.0,,92,"Comedy,Drama,Family"
1668,half baked,1998,1998,tt0120693,movie,half baked,half baked,0.0,1998.0,,82,"Comedy,Crime"
1878,halloween,1978,1978,tt0077651,movie,halloween,halloween,0.0,1978.0,,91,"Horror,Thriller"
1880,halloween 4: the return of michael myers,1988,1988,tt0095271,movie,halloween 4: the return of michael myers,halloween 4: the return of michael myers,0.0,1988.0,,88,"Horror,Thriller"
1881,halloween 5: the revenge of michael myers,1989,1989,tt0097474,movie,halloween 5: the revenge of michael myers,halloween 5: the revenge of michael myers,0.0,1989.0,,96,"Horror,Thriller"
1879,halloween ii,1981,1981,tt0082495,movie,halloween ii,halloween ii,0.0,1981.0,,92,Horror
863,halloween: the curse of michael myers,1995,1995,tt0113253,movie,halloween: the curse of michael myers,halloween: the curse of michael myers,0.0,1995.0,,87,"Horror,Thriller"
1839,hamlet,1948,1948,tt0040416,movie,hamlet,hamlet,0.0,1948.0,,154,Drama
3348,hamlet,2000,2000,tt0171359,movie,hamlet,hamlet,0.0,2000.0,,112,"Drama,Romance,Thriller"
3450,hamlet,1990,1990,tt0099726,movie,hamlet,hamlet,0.0,1990.0,,135,Drama
1340,hamlet,1996,1996,tt0116477,movie,hamlet,hamlet,0.0,1996.0,,242,Drama
2673,hamlet,1964,1964,tt0058177,movie,hamlet,hamlet,0.0,1964.0,,,Drama
2672,hamlet,1964,1964,tt0058175,movie,hamlet,hamlet,0.0,1964.0,,191,Drama
1714,hana-bi,1997,1997,tt0119250,movie,fireworks,hana-bi,0.0,1997.0,,103,"Crime,Drama,Romance"
3090,hanging up,2000,2000,tt0162983,movie,hanging up,hanging up,0.0,2000.0,,94,"Comedy,Drama"
2189,happiness,1998,1998,tt0147612,movie,happiness,happiness,0.0,1998.0,,134,"Comedy,Drama"
120,happy gilmore,1996,1996,tt0116483,movie,happy gilmore,happy gilmore,0.0,1996.0,,92,"Comedy,Sport"
3103,happy go lovely,1951,1951,tt0043618,movie,happy go lovely,happy go lovely,0.0,1951.0,,97,"Comedy,Musical,Romance"
648,happy weekend,1996,1996,tt0116485,movie,happy weekend,happy weekend,0.0,1996.0,,86,Comedy
2737,"happy, texas",1999,1999,tt0162360,movie,"happy, texas","happy, texas",0.0,1999.0,,98,"Comedy,Crime,Romance"
2213,hard core logo,1996,1996,tt0116488,movie,hard core logo,hard core logo,0.0,1996.0,,92,"Comedy,Drama,Music"
1666,hard rain,1998,1998,tt0120696,movie,hard rain,hard rain,0.0,1998.0,,97,"Action,Crime,Drama"
463,hard target,1993,1993,tt0107076,movie,hard target,hard target,0.0,1993.0,,97,"Action,Crime,Thriller"
1171,harold and maude,1971,1971,tt0067185,movie,harold and maude,harold and maude,0.0,1971.0,,91,"Comedy,Drama,Romance"
790,harriet the spy,1996,1996,tt0116493,movie,harriet the spy,harriet the spy,0.0,1996.0,,100,"Comedy,Drama,Family"
3162,harry and the hendersons,1987,1987,tt0093148,movie,harry and the hendersons,harry and the hendersons,0.0,1987.0,,110,"Comedy,Family,Fantasy"
2408,harvest,1998,1998,tt0125778,movie,harvest,harvest,0.0,1998.0,,96,Drama
2896,harvey,1950,1950,tt0042546,movie,harvey,harvey,0.0,1950.0,,104,"Comedy,Drama,Fantasy"
2639,haunted honeymoon,1986,1986,tt0091178,movie,haunted honeymoon,haunted honeymoon,0.0,1986.0,,82,Comedy
1801,hav plenty,1997,1997,tt0126938,movie,hav plenty,hav plenty,0.0,1997.0,,92,"Comedy,Romance"
1743,he got game,1998,1998,tt0124718,movie,he got game,he got game,0.0,1998.0,,136,"Drama,Sport"
1099,he walked by night,1948,1948,tt0040427,movie,he walked by night,he walked by night,0.0,1948.0,,79,"Crime,Film-Noir,Thriller"
1482,head above water,1996,1996,tt0116502,movie,head above water,head above water,0.0,1996.0,,92,"Comedy,Thriller"
2632,head on,1998,1998,tt0138487,movie,head on,head on,0.0,1998.0,,104,"Drama,Romance"
128,headless body in topless bar,1995,1995,tt0113276,movie,headless body in topless bar,headless body in topless bar,0.0,1995.0,,110,"Comedy,Crime,Drama"
1121,hear my song,1991,1991,tt0102014,movie,hear my song,hear my song,0.0,1991.0,,113,"Comedy,Drama,Music"
3230,heart and souls,1993,1993,tt0107091,movie,heart and souls,heart and souls,0.0,1993.0,,104,"Comedy,Drama,Fantasy"
2220,heart condition,1990,1990,tt0099750,movie,heart condition,heart condition,0.0,1990.0,,100,"Comedy,Crime,Drama"
2343,heartbreak ridge,1986,1986,tt0091187,movie,heartbreak ridge,heartbreak ridge,0.0,1986.0,,130,"Drama,War"
2285,heartburn,1986,1986,tt0091188,movie,heartburn,heartburn,0.0,1986.0,,108,"Comedy,Drama"
6,heat,1995,1995,tt0113277,movie,heat,heat,0.0,1995.0,,170,"Action,Crime,Drama"
2471,heaven,1998,1998,tt0120697,movie,heaven,heaven,0.0,1998.0,,105,"Crime,Thriller"
464,heaven & earth,1993,1993,tt0107096,movie,heaven & earth,heaven & earth,0.0,1993.0,,140,"Action,Biography,Drama"
2635,heaven can wait,1978,1978,tt0077663,movie,heaven can wait,heaven can wait,0.0,1978.0,,101,"Comedy,Fantasy,Romance"
1735,heaven's burning,1997,1997,tt0119272,movie,heaven's burning,heaven's burning,0.0,1997.0,,96,"Action,Crime,Drama"
720,heaven's prisoners,1996,1996,tt0116508,movie,heaven's prisoners,heaven's prisoners,0.0,1996.0,,132,"Drama,Mystery,Thriller"
262,heavenly creatures,1994,1994,tt0110005,movie,heavenly creatures,heavenly creatures,0.0,1994.0,,99,"Biography,Crime,Drama"
752,heavy,1995,1995,tt0113280,movie,heavy,heavy,0.0,1995.0,,105,"Drama,Romance"
618,heavy metal,1981,1981,tt0082509,movie,heavy metal,heavy metal,0.0,1981.0,,86,"Adventure,Animation,Fantasy"
809,hedd wyn,1992,1992,tt0104403,movie,hedd wyn,hedd wyn,0.0,1992.0,,123,"Drama,Romance,War"
2950,hell in the pacific,1968,1968,tt0063056,movie,hell in the pacific,hell in the pacific,0.0,1968.0,,103,"Adventure,War"
2724,hell night,1981,1981,tt0082511,movie,hell night,hell night,0.0,1981.0,,101,"Horror,Thriller"
3613,hellbound: hellraiser ii,1988,1988,tt0095294,movie,hellbound: hellraiser ii,hellbound: hellraiser ii,0.0,1988.0,,97,"Horror,Thriller"
1883,hello mary lou: prom night ii,1987,1987,tt0093176,movie,hello mary lou: prom night ii,hello mary lou: prom night ii,0.0,1987.0,,97,"Horror,Thriller"
3612,hellraiser,1987,1987,tt0093177,movie,hellraiser,hellraiser,0.0,1987.0,,94,"Horror,Thriller"
3614,hellraiser iii: hell on earth,1992,1992,tt0104409,movie,hellraiser iii: hell on earth,hellraiser iii: hell on earth,0.0,1992.0,,97,Horror
619,hellraiser: bloodline,1996,1996,tt0116514,movie,hellraiser: bloodline,hellraiser: bloodline,0.0,1996.0,,85,"Horror,Sci-Fi"
2777,help!,1965,1965,tt0059260,movie,help!,help!,0.0,1965.0,,92,"Adventure,Comedy,Musical"
1802,henry fool,1997,1997,tt0122529,movie,henry fool,henry fool,0.0,1997.0,,137,"Comedy,Drama"
1159,henry v,1989,1989,tt0097499,movie,henry v,henry v,0.0,1989.0,,137,"Biography,Drama,History"
2037,"henry: portrait of a serial killer, part 2",1996,1996,tt0116516,movie,"henry: portrait of a serial killer, part 2","henry: portrait of a serial killer, part 2",0.0,1996.0,,84,"Crime,Horror,Thriller"
1938,herbie goes bananas,1980,1980,tt0080861,movie,herbie goes bananas,herbie goes bananas,0.0,1980.0,,100,"Adventure,Comedy,Family"
1939,herbie goes to monte carlo,1977,1977,tt0076137,movie,herbie goes to monte carlo,herbie goes to monte carlo,0.0,1977.0,,105,"Action,Adventure,Comedy"
980,herbie rides again,1974,1974,tt0071607,movie,herbie rides again,herbie rides again,0.0,1974.0,,88,"Comedy,Family,Fantasy"
1483,hercules,1997,1997,tt0119282,movie,hercules,hercules,0.0,1997.0,,93,"Adventure,Animation,Comedy"
1103,here comes cookie,1935,1935,tt0026465,movie,here comes cookie,here comes cookie,0.0,1935.0,,65,"Comedy,Music"
3220,here on earth,2000,2000,tt0195778,movie,here on earth,here on earth,0.0,2000.0,,96,"Drama,Romance"
2122,hero,1992,1992,tt0104412,movie,hero,hero,0.0,1992.0,,119,"Comedy,Drama,Romance"
2123,hero,1992,1992,tt0250422,movie,hero,hero,0.0,1992.0,,,"Musical,Romance"
2975,hi-yo silver,1940,1940,tt0032590,movie,hi-yo silver,hi-yo silver,0.0,1940.0,,69,"Family,Western"
258,hideaway,1995,1995,tt0113303,movie,hideaway,hideaway,0.0,1995.0,,106,"Fantasy,Horror,Thriller"
2454,hideous kinky,1998,1998,tt0136244,movie,hideous kinky,hideous kinky,0.0,1998.0,,98,"Adventure,Drama,Romance"
1797,high art,1998,1998,tt0139362,movie,high art,high art,0.0,1998.0,,101,"Drama,Romance"
3244,high fidelity,2000,2000,tt0146882,movie,high fidelity,high fidelity,0.0,2000.0,,113,"Comedy,Drama,Music"
1222,high noon,1952,1952,tt0044706,movie,high noon,high noon,0.0,1952.0,,85,"Drama,Thriller,Western"
821,high school high,1996,1996,tt0116531,movie,high school high,high school high,0.0,1996.0,,86,"Comedy,Crime,Romance"
354,higher learning,1995,1995,tt0113305,movie,higher learning,higher learning,0.0,1995.0,,128,"Crime,Drama,Thriller"
1214,highlander,1986,1986,tt0091203,movie,highlander,highlander,0.0,1986.0,,116,"Action,Adventure,Fantasy"
